handcrafted,tot,labels,count
4,4,0,13
4,8,0,2
2,2,1,14
2,5,1,1
2,4,1,1
4,5,2,11
4,10,2,1
4,4,2,1
4,4,3,8
4,8,3,1
4,10,3,1
3,4,4,6
3,5,4,6
3,6,4,2
3,10,4,2
4,5,5,4
4,6,5,11
4,8,5,1
3,3,6,8
3,4,6,1
3,10,6,4
3,9,6,2
4,5,7,3
4,10,7,1
4,8,7,1
4,4,7,10
4,8,8,7
4,6,8,5
4,7,8,1
4,5,8,1
4,4,8,2
5,5,9,4
5,8,9,4
5,6,9,6
5,7,9,1
6,6,10,16
5,9,11,2
5,5,11,11
5,10,11,1
5,6,11,2
4,6,12,6
4,4,12,8
4,10,12,1
4,8,12,1
4,4,13,10
4,10,13,1
4,7,13,2
4,5,13,1
4,8,13,2
5,8,14,4
5,6,14,6
5,10,14,2
5,5,14,4
4,4,15,4
4,9,15,4
4,5,15,5
4,10,15,2
4,7,15,1
2,2,16,8
2,5,16,4
2,4,16,3
2,3,16,1
4,4,17,10
4,10,17,5
4,6,17,1
6,6,18,14
6,7,18,1
6,10,18,1
4,10,19,1
4,4,19,7
